
# sample
시집가다 嫁入りする、嫁ぐ
신기다 履かせる
신기하다 不思議だ
신나다 喜ぶ
심심찮다 頻繁だ
심심하다 深刻だ
싱싱하다 みずみずしい
쌀쌀하다 肌寒い
쏟아지다 降り注ぐ
쓰러지다 倒れる、転ぶ、覆る
쓸데없다 無用だ
쓸쓸하다 侘しい
씩씩하다 凛々しい
아까다 節約する、惜しむ、大事にする
아깝다 勿体無い
아쇱다 物足りない
안타깝다 気の毒だ
앞두다 控える
애쓰다 努める、非常に努力する
야단맞다 叱られる、咎められる
야단치다 叱る、咎める
얌전하다 おとなしい
어색하다 ぎこちない
얻어먹다 貰い食いする、ご馳走される
엄격하다 厳しい
엄청나다 途方もない
없애다 無くす、消す、捨てる
여쭈다 伺う
역하다 弱い
연하다 柔らかい
영뚱하다 突拍子もない
오가다 取り交わす、行き来する
오래되다 久しい、古い
오르내리다 上下する、上る
올리다 上げる・挙げる
올바르다 正しい
옳다 正しい
외우다 暗記する、覚える
외치다 叫ぶ、喚く・叫く
의하다 因る・由る・依る・拠る
이기다 勝つ、抑える、乗り越える
이끌다 引っ張る、引く・惹く
이루다 成す、遂げる、就く
이루어지다 成る、叶う、出来上がる
이름나다 名高い、有名だ
이어지다 繋がる、続く、引き継がれる
익숙하다 慣れる
익히다 身に付ける、覚える
인정받다 認定される、認められる
인하다 因る・由る
일깨우다 悟らせる
일으키다 起こす、引き起こす
일컫다 称する
읽히다 読まれる、読み取られる
입히다 着せる、与える
자라다 育つ、成長する
자렴하다 安い
작아지다 小さくなる、縮まる
잠그다 締める、掛ける、鍵をかける
잠기다 浸かる、包まれる
잠들다 眠る、寝入る
잡수다 召し上がる
적어지다 減る
전하다 濃い
접하다 接する、面する
정신없다 忙しい
조르다 せがむ、締める
졸리다 眠い、眠くなる
좀잖다 礼儀正しい
좁히다 狭める、詰める
주고받다 取り交わす・取交わす
주어지다 与えられる
죽이다 殺す、消す、押さえる
줄어들다 減る、減少する
줄이다 減らす、減少させる
지겹다 うんざりする、飽きる
지나가다 過ぎる、終わる、意味なく言う
지나치다 通り過ぎる、行きすぎる
지루하다 飽き飽きする
지우다 消す、落とす、忘れる
지저분하다 汚らわしい
지치다 疲れる、疲労する
지켜보다 見守る、見届ける
짙다 濃い
쫓기다 追われる、追いまくられる
쫓아내다 追い出す、追放する
쫓아다니다 後を追う、付け回す
찡하다 (感動で)じんとする
찢어지다 破られる、裂かれる
차분하다 物静かだ
찾아내다 探し出す、見付ける
찾아다니다 探し回る
찾아보다 訪ねる、訪れる
채우다 詰める、満たす・充たす
책임지다 責任を負う、責任を持つ
챙기다 揃える、用意する
쳐다보다 見上げる、見つめる
캄캄하다 真っ暗だ
커다럏다 非常に大きい
태우다 燃やす、焼く、焦がす
터지다 壊れる、割れる
토하다 吐く、戻す、吐き出す
튀기다 揚げる、弾けさせる
튼튼하다 丈夫だ
틀림없다 間違いない
팍팍하다 (生活などが)厳しい
